,,,,,reviewer,,,,,,,,
paper,year,author,title,conceptual paper (T/F/requires discussion),1,2,input data,preprocessing,method/analysis/processing,computational environment,results,Notes Reviewer,Could be made reproducible
12018,2018,"Amores, David ; Vasardani, Maria ; Tanin, Egemen",Early Detection of Herding Behaviour during Emergency Evacuations,F,DN,FO,"FO:1
DN: 1","FO:1
DN:1","FO:1
DN:1","FO:0
DN:0","FO:1
DN:1","DN: simulation data, open source tool > possible to make much more transparent!",Yes
22018,2018,"Belussi, Alberto ; Carra, Damiano ; Migliorini, Sara ; Negri, Mauro ; Pelagatti, Giuseppe",What Makes Spatial Data Big? A Discussion on How to Partition Spatial Data,F,FO,MK,"FO:0
MK:0","FO:1
MK:1","FO:1
MK:1","FO:0
MK:0","FO:1
MK:1","MK: I couldn't find a description of the comp. environm. Did I miss it?
Frank checked and agreed.",
32018,2018,"Fogliaroni, Paolo ; Bucher, Dominik ; Jankovic, Nikola ; Giannopoulos, Ioannis",Intersections of Our World,F,MK,DN,"MK:0
DN:0","MK:1
DN:1","MK:1
DN:1","MK:0
DN:0","MK:1
DN:1","DN: OSM data (whole planet), PostGIS, web application for exploring precomputed information > definetely could be made more reproducible! https://intersection.geo.tuwien.ac.at/# still functional!; software versions partly mentioned (PostGIS) but no code; polygons used for the cities to get the same results _with their web tool_ are missing

Decision: One of the two datasets (albeit the smaller one) is not recreatable data: 0;",
42018,2018,"Harvey, Francis",Considerations of Graphical Proximity and Geographical Nearness,F,CG,BH,0; BH:0,"0, BH:-","1, BH:1","0, BH:0","1, BH:1","Borderline. Main aim is to propose a theory of geo-graphical nearness. Exploratory experiment

Experiment:
- ""Data collected for the study comes from an online survey developed with the software suite Lime Survey"". 
- ""[data] was analyzed using classical and Bayesian methods available in the open software package JASP""",
52018,2018,"Hu, Yingjie ; Janowicz, Krzysztof",An Empirical Study on the Names of Points of Interest and Their Changes with Geographic Distance,F,BH,CG,CG: 0 (was 1); BH:0-1; Decision: 0,CG:1; BH:1,"CG:1, BH:1",CG:0; BH: 0,CG: 1 (was 2); BH:1,"Mentioning of a python script that is not provided; formulas used documented in the text; statistical measures provided as result; data from YELP dataset - available for download, but metadata on time of download missing",
62018,2018,"Jeong, Myeong-Hun ; Yin, Junjun ; Wang, Shaowen",Outlier Detection and Comparison of Origin-Destination Flows Using Data Depth,F,BH,DN,"BH: 0
DN: 0","BH:0
DN:0","BH:0 (was 1)
DN:0","BH:0
DN:0","BH:1
DN:1","BH: Data: taxi data from May-July 2014 in NY; unavailable / for other plots other taxi data dates are used; R is mentioned, but no code is provided; use of multiple cores mentioned - no further details provided; 

DN: TAZ data is described, but that's only partial; Dates are mentioned clearly, but no URL where to get the data; ""Hadoop with Pig, AWS and the Bridger supercomputer""... not good enough - ""link to the code is available upon request""",yes
72018,2018,"Kattenbeck, Markus ; Nuhn, Eva ; Timpf, Sabine",Is Salience Robust? A Heterogeneity Analysis of Survey Ratings,F,CG,MK,CG:1 MK:1,CG:1 MK:1,CG:1 MK:1,CG:0 MK:0,CG:1 MK:1,"- ""[Collected data] will be accessible via Data in Brief https://www.journals.elsevier.com/data-in-brief by the end of 2018"". I checked. No paper yet
- ""the first author of this paper collected data throughout his PhD [19]. ""
- ""A custom designed Android application facilitated the data collection in [19] and this application was reused for our study in Augsburg""
- ""PLS Path modeling as a statistical method and as an adequate means of assessing measurement invariance""",
82018,2018,"Krumpe, Filip",Labeling Points of Interest in Dynamic Maps using Disk Labels,F,MK,FO,"FO:1
MK:1","FO:2
MK:2","FO:2
MK:2","FO:0
MK:0","FO:1
MK:1","FO: Not sure about the ""2""'s, difficult case because actual analysis code is not provided, but Github repository has the library
MK: I am fine with the 2s but I couldn't find a description for the computational environment used to compute the table. So I gave it a 0
Frank checked and agreed",
92018,2018,"Lafia, Sara ; Turner, Andrew ; Kuhn, Werner",Improving Discovery of Open Civic Data,T,,,BH:0,BH:0,BH: 1,BH:0,BH:1,DN: I think there is data analysis happening here (Figure 7 & 8)! BH: I tried a quick assessment; requires a second opinion,
102018,2018,"Li, Yan ; Shekhar, Shashi",Local Co-location Pattern Detection: A Summary of Results,F,FO,CG,"FO: 0 (couldn't find any concrete link to what is used); CG: 0 (""Chicago crime dataset"")",FO: 1; CG: 1 ,FO:1; CG: 1,FO:1; CG: 1,FO:1; CG:1,"""The platform for the simulation was Microsoft .NET Framework 4.5 on a computer with Intel(R) Core(TM) i7-4770 3.40 GHz CPU and 32 GB RAM""",
112018,2018,"Méneroux, Yann ; Kanasugi, Hiroshi ; Saint Pierre, Guillaume ; Le Guilcher, Arnaud ; Mustière, Sébastien ; Shibasaki, Ryosuke ; Kato, Yugo",Detection and Localization of Traffic Signals with GPS Floating Car Data and Random Forest,F,DN,BH,DN:0; BH:0,DN:1; BH:1,"DN:1, BH: 1 (was 2)",DN:1; BH:1,DN:1; BH:1,"DN: ""extract routable map from the national reference"" - is that redoable? But commercial floating car data; preprocessing described in text; processing algorithms cited and math given; hardware is described; R randomForest package mentioned but without version; BH: very strict to limit methods to 1 because of a missing verison of the R code - they do provide a reference to the package from the year 2002 but ok, that might not be enough. Agree on the data - also for OSM we would need more details",
